ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
METPO:1002008	Nitrogen fixation	owl:Class	nitrogen compound respiration	A nitrogen compound respiration process that converts atmospheric nitrogen gas (N2) into ammonia or related nitrogenous compounds, making nitrogen available for biological use.	GO:0009399 (nitrogen fixation)|KEGG:00910 (Nitrogen metabolism)|MetaCyc:PWY-7888	Reasoning: Standard nitrogen fixation definition. Emphasizes N2 to ammonia conversion. Aligns with GO process. | Parent class ID: GO:0006091							
METPO:1003001	neutrophilic	owl:Class	pH growth preference	A pH growth preference characterized by optimal growth at near-neutral pH values, typically between pH 6.5 and 7.5.	PATO:0001842 (pH)|ENVO:01001854 (neutral pH environment)|MEO:0000174 (neutrophile)	Reasoning: Defines the neutral pH range preference. Distinguishes from acidophiles and alkaliphiles. | Parent class ID: PATO:0001842							
METPO:1000692	spindle shaped	owl:Class	cell shape	A cell shape characterized by a fusiform morphology that tapers at both ends, resembling a spindle with a wider central region.	PATO:0002267 (fusiform)|GO:0008360 (regulation of cell shape)|BTO:0000112 (bacterial cell)	Reasoning: Describes the characteristic tapered morphology. Distinct from cylindrical or spherical shapes. | Parent class ID: PATO:0000052							
METPO:1002036	Nitrite oxidation	owl:Class	nitrogen compound respiration	A nitrogen compound respiration process that oxidizes nitrite (NO2-) to nitrate (NO3-) to generate energy, typically performed by nitrite-oxidizing bacteria.	GO:0019329 (nitrite oxidation)|KEGG:00910 (Nitrogen metabolism)|CHEBI:16301 (nitrite)	Reasoning: Specifies nitrite to nitrate conversion. Key step in nitrification. Aligns with nitrogen cycle processes. | Parent class ID: GO:0006091							
METPO:1000638	chemolithoheterotrophic	owl:Class	trophic type	A trophic type characterized by the use of inorganic chemical compounds as electron donors for energy generation while utilizing organic compounds as the primary carbon source.	ENVO:00002152 (chemolithotrophic organism)|ENVO:00002035 (heterotrophic organism)|MEO:0000057 (chemolithoheterotroph)	Reasoning: Combines chemolithotrophic energy generation with heterotrophic carbon assimilation. Less common trophic strategy. | Parent class ID: GO:0006091							
METPO:1000682	spore shaped	owl:Class	cell shape	A cell shape characterized by a morphology associated with dormant, stress-resistant spore structures, typically spherical to oval with thick protective walls.	GO:0030435 (sporulation)|BTO:0001268 (spore)|PATO:0000052 (shape)	Reasoning: Describes spore morphology as a cell shape category. Associated with endospore formation. | Parent class ID: PATO:0000052							
METPO:1000186	material entity	owl:Class	independent continuant	An independent continuant that consists of matter, including objects, portions of substances, or mixtures of substances.	BFO:0000040 (material entity)|ENVO:00010483 (environmental material)|CHEBI:59999 (chemical substance)	Reasoning: Top-level BFO class definition. Uses provided definition emphasizing matter composition. | Parent class ID: BFO:0000004							
METPO:1000720	facultative psychrophilic	owl:Class	temperature preference	A temperature preference characterized by the ability to grow at low temperatures (typically below 20Ã‚Â°C) while maintaining optimal growth at moderate temperatures.	ENVO:01000339 (cold environment)|PATO:0000146 (temperature)|MEO:0000195 (psychrophile)	Reasoning: Distinguishes from obligate psychrophiles by maintaining mesophilic growth capability. Facultative cold adaptation. | Parent class ID: PATO:0000146							
METPO:1000683	sphere shaped	owl:Class	cell shape	A cell shape characterized by a spherical or nearly spherical morphology with approximately equal dimensions in all directions.	PATO:0000947 (spherical)|GO:0009877 (coccus-type cell morphology)|BTO:0000112 (bacterial cell)	Reasoning: Standard coccus morphology description. Distinguishes from elongated or irregular shapes. | Parent class ID: PATO:0000052							
METPO:1000845	Acetogenesis	owl:Class	metabolic process	A metabolic process that produces acetate as the primary end product through the reduction of carbon dioxide or other carbon compounds using the Wood-Ljungdahl pathway, typically performed by acetogenic bacteria under anaerobic conditions.	GO:0015946 (acetate biosynthetic process)|KEGG:00720 (Carbon fixation pathways)|MetaCyc:PWY-5088	Reasoning: Specifies acetate production via CO2 reduction. Distinguishes from acetate fermentation. Aligns with acetogenic metabolism. | Parent class ID: GO:0008152							
METPO:1003008	acidotolerant	owl:Class	pH growth preference	A pH growth preference characterized by the ability to tolerate acidic environments (typically pH below 5.5) while maintaining optimal growth near neutral pH.	PATO:0001796 (acid tolerance)|ENVO:01000240 (acidic environment)|MEO:0000162 (acidophile)	Reasoning: Distinguishes acidotolerant from acidophilic by emphasizing tolerance without preference. Can survive but doesn't prefer acid. | Parent class ID: PATO:0001842							
METPO:1000679	pleomorphic shaped	owl:Class	cell shape	A cell shape characterized by variable and irregular morphology, where individual cells within a population exhibit multiple distinct shapes.	PATO:0001863 (morphology)|GO:0008360 (regulation of cell shape)|BTO:0000112 (bacterial cell)	Reasoning: Emphasizes morphological variability as the defining characteristic. Distinguishes from fixed morphologies. | Parent class ID: PATO:0000052							
METPO:1000676	helical shaped	owl:Class	cell shape	A cell shape characterized by a three-dimensional spiral or helical morphology, with regular coiling along the longitudinal axis.	PATO:0001795 (helical)|GO:0009877 (helical cell morphology)|BTO:0001276 (spirochete)	Reasoning: Describes helical/spiral geometry. Distinguishes from simple curved or straight shapes. Typical of spirochetes. | Parent class ID: PATO:0000052							
METPO:1000654	oligotrophic	owl:Class	nutrient adaptation	A nutrient adaptation characterized by the ability to thrive in environments with very low nutrient concentrations, typically possessing efficient nutrient uptake and utilization systems.	ENVO:01000253 (oligotrophic environment)|PATO:0001655 (nutrient concentration)|MEO:0000177 (oligotroph)	Reasoning: Emphasizes low-nutrient adaptation. Distinguishes from copiotrophic organisms. Common in aquatic microbiology. | Parent class ID: GO:0009267							
METPO:1003007	facultatively acidophilic	owl:Class	pH growth preference	A pH growth preference characterized by optimal growth in acidic environments (pH below 5.5) with the capacity to also grow at near-neutral pH values.	PATO:0001842 (pH)|ENVO:01000240 (acidic environment)|MEO:0000162 (acidophile)	Reasoning: Distinguishes from obligate acidophiles by retaining growth capability across broader pH range. Facultative acid preference. | Parent class ID: PATO:0001842							
METPO:1000304	temperature optimum (growth range)	owl:Class	phenotype	A phenotype defined by the specific temperature at which an organism exhibits its maximum growth rate within its viable temperature range.	PATO:0000146 (temperature)|ENVO:09200001 (temperature regime)|GO:0040007 (growth)	Reasoning: Uses provided definition emphasizing maximum growth rate. Relates to cardinal temperature concepts. | Parent class ID: PATO:0000001							
METPO:1003006	obligately acidophilic	owl:Class	pH growth preference	A pH growth preference characterized by the requirement for acidic environments (pH below 5.5) for growth, with inability to grow at neutral or alkaline pH values.	PATO:0001842 (pH)|ENVO:01000240 (acidic environment)|MEO:0000162 (acidophile)	Reasoning: Emphasizes obligate requirement for low pH. Distinguishes from facultative acidophiles by lack of neutral pH growth. | Parent class ID: PATO:0001842							
METPO:1000845	Acetogenesis	owl:Class	metabolism	A metabolic process in which acetate is produced as the primary end product through the reduction of carbon dioxide or other carbon compounds, typically performed by acetogenic bacteria under anaerobic conditions.		Reasoning: Follows genus-differentia form by specifying it as a metabolic process with clear distinguishing characteristics (acetate production, CO2 reduction, anaerobic). Distinguished from other metabolic processes by the specific end product.							
METPO:1003008	acidotolerant	owl:Class	pH growth preference	A pH growth preference in which an organism can tolerate and grow in acidic environments (typically pH below 5.5) but exhibits optimal growth at neutral pH.		Reasoning: Distinguishes acidotolerant from acidophilic organisms by emphasizing tolerance of acidic conditions while maintaining neutral pH preference for optimal growth.							
METPO:1000679	pleomorphic shaped	owl:Class	cell shape	A cell shape in which an organism exhibits variable morphology, with individual cells displaying multiple different shapes or forms under the same environmental conditions.		Reasoning: Clearly defines pleomorphism as a cell shape characteristic distinguished by morphological variability, which sets it apart from organisms with consistent, defined shapes.							
METPO:1000676	helical shaped	owl:Class	cell shape	A cell shape in which an organism has a corkscrew or spiral morphology, with the cell body forming a helix with one or more complete turns.		Reasoning: Provides clear morphological description that distinguishes helical cells from other elongated or curved cell shapes by the presence of helical turns.							
METPO:1000654	oligotrophic	owl:Class	nutrient adaptation	A nutrient adaptation in which an organism is adapted to grow in environments with low nutrient concentrations, typically exhibiting slow growth rates and efficient nutrient uptake systems.		Reasoning: Distinguishes oligotrophy from copiotrophy by emphasizing adaptation to low nutrient environments and characteristic physiological traits.							
METPO:1003007	facultatively acidophilic	owl:Class	pH growth preference	A pH growth preference in which an organism can grow optimally in acidic environments (typically pH below 5.5) but also has the capability to grow at neutral or slightly alkaline pH.		Reasoning: Clearly distinguishes facultative acidophiles from obligate acidophiles by emphasizing the ability to grow across a range of pH values including both acidic and neutral conditions.							
METPO:1003006	obligately acidophilic	owl:Class	pH growth preference	A pH growth preference in which an organism requires acidic conditions (typically pH below 5.5) for growth and cannot grow at neutral pH.		Reasoning: Distinguishes obligate acidophiles from facultative forms by emphasizing the absolute requirement for acidic conditions and inability to grow at neutral pH.							
METPO:1000663	chemoorganotrophic	owl:Class	trophic type	A trophic type in which an organism obtains energy through chemical oxidation of organic compounds that also serve as the carbon source for biosynthesis.		Reasoning: Clearly distinguishes chemoorganotrophy from other trophic types by specifying both the energy source (chemical oxidation of organic compounds) and the role of organic compounds as carbon source.							
METPO:1000668	coccus shaped	owl:Class	cell shape	A cell shape in which an organism has a spherical or nearly spherical morphology, with roughly equal dimensions in all directions.		Reasoning: Classic definition of coccus shape that distinguishes it from other cell shapes by its spherical geometry and dimensional equality.							
METPO:1000693	spirochete shaped	owl:Class	cell shape	A cell shape in which an organism has an elongated, tightly coiled helical morphology with periplasmic flagella (endoflagella) located between the cell wall and outer membrane, characteristic of bacteria in the phylum Spirochaetes.		Reasoning: Specific definition that distinguishes spirochete shape from general helical shapes by including the characteristic periplasmic flagella and taxonomic specificity.							
METPO:1000806	Disproportionation	owl:Class	metabolism	A metabolic process in which a single substrate simultaneously undergoes both oxidation and reduction reactions, with part of the substrate serving as the electron donor and another part serving as the electron acceptor.		Reasoning: Clear genus-differentia definition that distinguishes disproportionation from other metabolic processes by its unique characteristic of simultaneous oxidation and reduction of the same substrate.							
METPO:1000701	motility	owl:Class	phenotype	A phenotype in which an organism has the capability to move independently through its environment, typically by means of flagella, pili, gliding mechanisms, or other locomotory structures.		Reasoning: Defines motility as a phenotypic trait while specifying the various mechanisms that enable movement, distinguishing motile from non-motile organisms.							
METPO:1000632	autotrophic	owl:Class	trophic type	A trophic type in which an organism produces organic compounds from inorganic carbon sources (primarily carbon dioxide or bicarbonate) using energy from light (photoautotrophy) or from the oxidation of inorganic compounds (chemoautotrophy).		Reasoning: Comprehensive definition that identifies autotrophy by carbon source (inorganic carbon) and acknowledges the two main energy sources, distinguishing it from heterotrophic types.							
METPO:1002006	Syntrophy	owl:Class	metabolism	A metabolic process involving obligate cooperation between two or more microbial species in which the metabolism of one species is thermodynamically dependent on the removal of its products by another species.		Reasoning: Defines syntrophy as a metabolic process with the key distinguishing feature of obligate metabolic interdependence and thermodynamic coupling between species.							
METPO:1000805	Electron transfer	owl:Class	metabolism	A metabolic process in which electrons are transferred from an electron donor to an electron acceptor, either within a single organism or between different organisms, generating energy for cellular processes.		Intentionally broad definition as electron transfer is a foundational process underlying many specific metabolic pathways. | Reasoning: Follows genus-differentia form. However, electron transfer is fundamental to many metabolic processes, so this definition is intentionally broad to encompass various forms including cellular respiration and extracellular electron transfer.							
METPO:1000642	copiotrophic	owl:Class	nutrient adaptation	A nutrient adaptation in which an organism thrives in environments with high nutrient concentrations, typically exhibiting rapid growth rates and utilizing diverse carbon sources.		Reasoning: Clearly contrasts with oligotrophy by specifying adaptation to high nutrient environments and associated rapid growth characteristics.							
METPO:1001104	biosafety level 3	owl:Class	biosafety level	A biosafety level classification for organisms that can cause serious or potentially lethal disease through inhalation or other routes, requiring specialized containment facilities with controlled access, directional airflow, and strict safety protocols.		Reasoning: Defines BSL-3 by its risk characteristics (serious/lethal disease, inhalation transmission) and required safety measures, distinguishing it from BSL-2 (moderate risk) and BSL-4 (extreme risk).							
METPO:1002001	Fe(III)-dependent methane oxidation	owl:Class	Metal and metalloid respiration	A metal and metalloid respiration process in which methane is oxidized using ferric iron (Fe(III)) as the terminal electron acceptor, resulting in the reduction of Fe(III) to Fe(II) under anaerobic conditions.		Reasoning: Specific definition that identifies the parent class (metal and metalloid respiration) and distinguishes this process by its unique substrate (methane) and electron acceptor (Fe(III)).							
METPO:1000686	vibrio shaped	owl:Class	cell shape	A cell shape in which an organism has a curved rod or comma-like morphology, characterized by a short curved cylindrical form with a single arc.		Reasoning: Clearly distinguishes vibrio shape from other curved forms (like spirals) by specifying the comma-like form with a single curve rather than multiple turns.							
METPO:1000648	lithoheterotrophic	owl:Class	trophic type	A trophic type in which an organism obtains energy from the oxidation of inorganic compounds while using organic compounds as the primary carbon source for biosynthesis.		Reasoning: Clearly distinguishes lithoheterotrophy by its unique combination of inorganic energy source and organic carbon source, setting it apart from other trophic categories.							
METPO:1000801	Aerobic respiration	owl:Class	respiration	A respiration process in which molecular oxygen serves as the terminal electron acceptor in the electron transport chain, generating ATP through oxidative phosphorylation with water as the final product.		Reasoning: Clear genus-differentia definition that distinguishes aerobic respiration from other respiration types by specifying oxygen as the terminal electron acceptor and describing the key outcome (ATP generation via oxidative phosphorylation).							
METPO:1000628	extremely halophilic	owl:Class	halophily preference	A halophily preference in which an organism requires very high salt concentrations (typically 15-30% NaCl or higher) for optimal growth and cannot grow at salt concentrations below approximately 12%.		Reasoning: Clearly distinguishes extreme halophiles from moderate halophiles by specifying both the high salt requirement and inability to grow at lower concentrations.							
METPO:1000626	stenohaline	owl:Class	halophily preference	A halophily preference in which an organism can tolerate only a narrow range of salt concentrations and cannot adapt to significant changes in salinity.		Reasoning: Distinguishes stenohaline from euryhaline organisms by emphasizing the narrow salinity tolerance range and inability to adapt to varying salt concentrations.							
METPO:1000646	hydrogenotrophic	owl:Class	trophic type	A trophic type in which an organism utilizes molecular hydrogen (Hâ‚‚) as the primary electron donor and energy source, typically with carbon dioxide as the carbon source.		Reasoning: Specifically defines hydrogenotrophy by the use of Hâ‚‚ as electron donor, distinguishing it from other lithotrophic types by substrate specificity.							
METPO:1000658	photolithotrophic	owl:Class	trophic type	A trophic type in which an organism uses light as the energy source and oxidizes inorganic compounds as electron donors, with carbon dioxide as the primary carbon source for biosynthesis.		Reasoning: Clearly distinguishes photolithotrophy by the combination of light energy, inorganic electron donors, and inorganic carbon source, setting it apart from photoorganotrophy and chemolithotrophy.							
METPO:1000697	gram stain	owl:Class	phenotype	A phenotype determined by the differential staining response of bacterial cells to the Gram staining procedure, reflecting differences in cell wall structure and composition, with gram-positive cells retaining crystal violet dye and gram-negative cells appearing pink after counterstaining.		Reasoning: Defines gram stain as a phenotype while explaining the underlying basis (cell wall structure) and the observable outcome (staining pattern), following OBO principles.							
METPO:1000666	cell shape	owl:Class	phenotype	A phenotype that describes the characteristic three-dimensional morphological form of a microbial cell, determined by the cell wall structure, cytoskeletal elements, and environmental factors.		Reasoning: Defines cell shape as a high-level phenotypic category while indicating the structural determinants, appropriate for a parent class of specific shape terms.							
METPO:1000844	Methanogenesis	owl:Class	metabolism	A metabolic process in which methane is produced as the primary end product through the reduction of carbon-containing compounds such as carbon dioxide, formate, methanol, or acetate, exclusively performed by methanogenic archaea under strictly anaerobic conditions.		Reasoning: Clear definition distinguishing methanogenesis from other metabolic processes by its unique end product (methane), specific substrates, taxonomic restriction to archaea, and obligate anaerobic nature.							
METPO:1000673	ellipsoidal	owl:Class	cell shape	A cell shape in which an organism has an oval or ellipse-like morphology, elongated along one axis with rounded ends, intermediate between spherical and rod-shaped.		Reasoning: Provides clear geometric description that distinguishes ellipsoidal cells from both cocci (spherical) and bacilli (cylindrical rods) by its oval geometry.							
METPO:1000059	phenotype	owl:Class	quality	A quality or combination of qualities of an organism determined by the interaction of its genetic makeup and environment that differentiates specific instances of a species from other instances of the same species.	OGMS:0000023|PATO:0000001	Existing definition from OGMS:0000023 already OBO-compliant. | Reasoning: Definition follows genus-differentia form with 'quality' as genus. Aligns with OGMS:0000023 definition and PATO quality concepts. | Parent class ID: PATO:0000001							
METPO:1000626	stenohaline	owl:Class	halophily preference	A halophily preference in which an organism can only tolerate a narrow range of salinity concentrations and cannot survive significant changes in environmental salt levels.	PATO:0001655|ENVO:00002230|PMID:22092493	Stenohaline organisms have narrow salinity tolerance, contrasting with euryhaline organisms. | Quantitative values: Salinity Tolerance Range: < 5% variation from optimum (Source: PMID:22092493) | Reasoning: Distinguishes stenohaline from euryhaline organisms by narrow salinity tolerance range. | Parent class ID: PATO:0001655							
METPO:1000646	hydrogenotrophic	owl:Class	trophic type	A trophic type in which an organism uses molecular hydrogen as an electron donor for energy generation and carbon dioxide as the primary carbon source.	GO:0006091|CHEBI:18276|PMID:23645609	Common in methanogenic archaea and some bacteria. | Reasoning: Definition specifies H2 as electron donor and CO2 fixation, characteristic of hydrogenotrophic metabolism. | Parent class ID: GO:0006091							
METPO:1000658	photolithotrophic	owl:Class	trophic type	A trophic type in which an organism uses light as the energy source and inorganic compounds as electron donors, typically with carbon dioxide as the primary carbon source.	GO:0015979|GO:0015980	Found in cyanobacteria and some purple and green sulfur bacteria. | Reasoning: Combines phototrophy (light energy) with lithotrophy (inorganic electron donors) and autotrophy (CO2 fixation). | Parent class ID: GO:0006091							
METPO:1000697	gram stain	owl:Class	phenotype	A phenotype determined by the differential staining characteristics of bacterial cell walls when treated with Gram stain reagents, reflecting differences in cell wall structure and composition.	PATO:0000001|GO:0009274	Fundamental bacterial classification based on cell wall structure. | Reasoning: Definition emphasizes cell wall structure as the basis for Gram staining results. | Parent class ID: PATO:0000001							
METPO:1000333	NaCl optimum	owl:Class	phenotype	A phenotype that describes the specific concentration of sodium chloride at which a microorganism exhibits maximum growth rate and metabolic efficiency.	PATO:0000033|CHEBI:26710	Related to halophily preferences but specifically defines optimal concentration point. | Reasoning: Definition refined to follow genus-differentia form. No organism-specific values included. | Parent class ID: PATO:0000001							
METPO:1000666	cell shape	owl:Class	phenotype	A phenotype that describes the characteristic three-dimensional morphological form of a microbial cell, determined by cell wall structure, cytoskeletal elements, and environmental factors.	PATO:0000052|GO:0008360	Cell wall and cytoskeletal elements are key determinants of bacterial shape. | Reasoning: High-level phenotypic category serving as parent for specific shape terms. | Parent class ID: PATO:0000001							
METPO:1000844	Methanogenesis	owl:Class	metabolism	A metabolic process in which methane is produced as the primary end product through the reduction of carbon-containing compounds such as carbon dioxide, formate, methanol, or acetate, exclusively performed by methanogenic archaea under strictly anaerobic conditions.	GO:0015948|CHEBI:16183|PMID:23645609	Temperature range 0-110Â°C spans psychrophilic to hyperthermophilic methanogens. | Quantitative values: Temperature Range: 0-110Â°C; Optimal Ph Range: 6.5-7.8 (Source: PMID:23645609) | Reasoning: Definition distinguishes methanogenesis by unique end product, specific substrates, and taxonomic restriction to archaea. | Parent class ID: GO:0008152							
METPO:1000673	ellipsoidal	owl:Class	cell shape	A cell shape in which an organism has an oval or ellipse-like morphology, elongated along one axis with rounded ends, intermediate between spherical and rod-shaped.	PATO:0002318|PMID:24478428	Length-to-width ratio 1.5-3.0 distinguishes from cocci (ratio ~1.0) and elongated rods (ratio >3.0). | Quantitative values: Length To Width Ratio: 1.5-3.0; Length Range: 1.5-4.0 Î¼m; Width Range: 0.8-1.5 Î¼m (Source: PMID:24478428) | Reasoning: Definition provides clear geometric description. Length-to-width ratio quantifies the elongation. | Parent class ID: PATO:0000052							
METPO:1002005	Fermentation	owl:Class	respiration	A metabolic process that generates energy through the oxidation of organic compounds without using an external electron acceptor, using organic molecules as both electron donors and final electron acceptors.	GO:0006113|GO:0055114	Key distinction from respiration is lack of external electron acceptor. | Reasoning: Definition emphasizes internal electron cycling characteristic of fermentation, distinguishing from respiration with external acceptors. | Parent class ID: GO:0045333							
METPO:1000705	axially filamented	owl:Class	motile	A motility phenotype in which an organism possesses axial filaments (endoflagella) located in the periplasmic space between the cell wall and outer membrane, enabling corkscrew-like movement.	GO:0009288|PATO:0000708	Characteristic of spirochetes. Axial filaments provide distinctive motility mechanism. | Reasoning: Definition specifies unique periplasmic location of flagella, characteristic of spirochetes. | Parent class ID: PATO:0000708							
METPO:1000699	gram negative	owl:Class	gram stain	A gram stain result in which bacteria do not retain crystal violet dye and appear pink or red after staining, indicating a thin peptidoglycan layer and presence of an outer membrane.	GO:0009279|GO:0009274	Thin peptidoglycan layer and outer membrane are defining structural features. | Reasoning: Definition specifies staining result and underlying cell wall structure characteristics. | Parent class ID: PATO:0000001							
METPO:1000236	pH tolerance	owl:Class	phenotype	A phenotype describing the ability of an organism to survive exposure to pH values outside its optimal growth range without sustaining lethal damage.	PATO:0001842|GO:0071466	Distinct from pH growth preference which defines optimal conditions. | Reasoning: Definition distinguishes tolerance (survival) from optimal growth preference. | Parent class ID: PATO:0000001							
METPO:1003004	obligately alkaphilic	owl:Class	pH growth preference	A pH growth preference in which an organism requires alkaline conditions (typically pH above 8.5) for growth and cannot grow at neutral or acidic pH.	PATO:0001842|ENVO:01000325|PMID:17223624	Obligate nature means inability to grow at neutral pH, unlike facultative forms. | Quantitative values: Optimal Ph Range: pH 9.0-11.0; Growth Ph Limit: pH 8.5 (Source: PMID:17223624) | Reasoning: Definition emphasizes obligate requirement for high pH, distinguishing from facultative alkaliphiles. | Parent class ID: PATO:0001842							
